 sum | year |                                               instnm                                               
-----+------+----------------------------------------------------------------------------------------------------
     | 2008 | 360 Degrees Beauty Academy
     | 2009 | 360 Degrees Beauty Academy
     | 2008 | 4-States Academy of Cosmetology
     | 2009 | 4-States Academy of Cosmetology
     | 2008 | 4-States Okmulgee Academy of Cosmetology
     | 2009 | 4-States Okmulgee Academy of Cosmetology
     | 2008 | A & W Healthcare Educators
     | 2009 | A & W Healthcare Educators
     | 2010 | A & W Healthcare Educators
     | 2011 | A & W Healthcare Educators
     | 2012 | A & W Healthcare Educators
     | 2006 | A Cut Above Beauty College
     | 2007 | A Cut Above Beauty College
   0 | 2006 | A T Still University of Health Sciences
   0 | 2007 | A T Still University of Health Sciences
   0 | 2008 | A T Still University of Health Sciences
   0 | 2009 | A T Still University of Health Sciences
   0 | 2010 | A T Still University of Health Sciences
   0 | 2011 | A T Still University of Health Sciences
   0 | 2012 | A T Still University of Health Sciences
     | 2008 | A.B.I. School of Barbering & Cosmetology of Chelsea Inc.
     | 2009 | A.B.I. School of Barbering & Cosmetology of Chelsea Inc.
     | 2008 | A.B.I. School of Barbering & Cosmetology of Tribeca Inc.
     | 2009 | A.B.I. School of Barbering & Cosmetology of Tribeca Inc.
     | 2010 | ABC Beauty Academy
     | 2011 | ABC Beauty Academy
     | 2012 | ABC Beauty Academy
     | 2010 | ABC Beauty College Inc
     | 2011 | ABC Beauty College Inc
     | 2012 | ABC Beauty College Inc
     | 2006 | ACT College
     | 2007 | ACT College
     | 2008 | ACT College
     | 2009 | ACT College
     | 2006 | AIB College of Business
     | 2007 | AIB College of Business
     | 2008 | AIB College of Business
     | 2009 | AIB College of Business
     | 2010 | AIB College of Business
     | 2011 | AIB College of Business
     | 2012 | AIB College of Business
     | 2006 | AIB International
     | 2007 | AIB International
     | 2008 | AIB International
     | 2009 | AIB International
   0 | 2010 | AOMA Graduate School of Integrative Medicine
   0 | 2011 | AOMA Graduate School of Integrative Medicine
   0 | 2012 | AOMA Graduate School of Integrative Medicine
     | 2010 | ASA College
     | 2011 | ASA College
     | 2012 | ASA College
     | 2006 | ASA Institute of Business and Computer Technology
     | 2007 | ASA Institute of Business and Computer Technology
   0 | 2008 | ASA Institute of Business and Computer Technology
     | 2009 | ASA Institute of Business and Computer Technology
     | 2010 | ASI Career Institute
     | 2011 | ASI Career Institute
     | 2012 | ASI Career Institute
     | 2006 | ASM Beauty World Academy
     | 2007 | ASM Beauty World Academy
     | 2008 | ASM Beauty World Academy
     | 2009 | ASM Beauty World Academy
     | 2010 | ASM Beauty World Academy
     | 2011 | ASM Beauty World Academy
     | 2012 | ASM Beauty World Academy
   0 | 2008 | ASPIRA de Puerto Rico
     | 2009 | ASPIRA de Puerto Rico
   0 | 2008 | ATA Career Education
     | 2009 | ATA Career Education
     | 2010 | ATA Career Education
     | 2011 | ATA Career Education
     | 2012 | ATA Career Education
     | 2010 | ATA College
     | 2011 | ATA College
     | 2012 | ATA College
     | 2006 | ATI Career Training Center
     | 2007 | ATI Career Training Center
     | 2008 | ATI Career Training Center
   0 | 2009 | ATI Career Training Center
     | 2006 | ATI College
     | 2007 | ATI College
     | 2008 | ATI College
     | 2009 | ATI College
     | 2006 | ATI College of Health
     | 2007 | ATI College of Health
     | 2008 | ATI College of Health
     | 2009 | ATI College of Health
     | 2010 | ATI College-Norwalk
     | 2011 | ATI College-Norwalk
     | 2012 | ATI College-Norwalk
     | 2010 | ATI College-Santa Ana
     | 2011 | ATI College-Santa Ana
     | 2012 | ATI College-Santa Ana
     | 2008 | ATI College-SantaAna
     | 2009 | ATI College-SantaAna
     | 2006 | ATI Technical Training Center
     | 2007 | ATI Technical Training Center
     | 2008 | ATI Technical Training Center
   0 | 2009 | ATI Technical Training Center
     | 2006 | ATS Institute of Technology
     | 2007 | ATS Institute of Technology
     | 2008 | ATS Institute of Technology
     | 2009 | ATS Institute of Technology
     | 2010 | ATS Institute of Technology
   0 | 2011 | ATS Institute of Technology
     | 2012 | ATS Institute of Technology
     | 2010 | AVTEC-Alaska's Institute of Technology
   0 | 2011 | AVTEC-Alaska's Institute of Technology
     | 2012 | AVTEC-Alaska's Institute of Technology
     | 2010 | Aaniiih Nakoda College
     | 2011 | Aaniiih Nakoda College
     | 2012 | Aaniiih Nakoda College
     | 2006 | Aaron's Academy of Beauty
     | 2007 | Aaron's Academy of Beauty
     | 2008 | Aaron's Academy of Beauty
     | 2009 | Aaron's Academy of Beauty
     | 2010 | Aaron's Academy of Beauty
     | 2011 | Aaron's Academy of Beauty
     | 2012 | Aaron's Academy of Beauty
     | 2010 | Abcott Institute
     | 2011 | Abcott Institute
     | 2012 | Abcott Institute
     | 2006 | Abdill Career College Inc
     | 2007 | Abdill Career College Inc
     | 2008 | Abdill Career College Inc
     | 2009 | Abdill Career College Inc
     | 2010 | Abdill Career College Inc
     | 2011 | Abdill Career College Inc
     | 2012 | Abdill Career College Inc
   3 | 2006 | Abilene Christian University
   1 | 2007 | Abilene Christian University
   0 | 2008 | Abilene Christian University
   0 | 2009 | Abilene Christian University
   0 | 2010 | Abilene Christian University
   0 | 2011 | Abilene Christian University
   0 | 2012 | Abilene Christian University
   1 | 2006 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2007 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2008 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2009 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2010 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2011 | Abington Memorial Hospital Dixon School of Nursing
   0 | 2012 | Abington Memorial Hospital Dixon School of Nursing
     | 2006 | Abraham Baldwin Agricultural College
     | 2007 | Abraham Baldwin Agricultural College
     | 2008 | Abraham Baldwin Agricultural College
   0 | 2009 | Abraham Baldwin Agricultural College
   0 | 2010 | Abraham Baldwin Agricultural College
   0 | 2011 | Abraham Baldwin Agricultural College
   0 | 2012 | Abraham Baldwin Agricultural College
     | 2006 | Abram Friedman Occupational Center
     | 2007 | Abram Friedman Occupational Center
     | 2008 | Abram Friedman Occupational Center
     | 2009 | Abram Friedman Occupational Center
     | 2006 | Academia Serrant Inc
     | 2007 | Academia Serrant Inc
     | 2008 | Academia Serrant Inc
     | 2009 | Academia Serrant Inc
     | 2010 | Academia Serrant Inc
     | 2011 | Academia Serrant Inc
